Year,Conference,Team
2018,W,Houston Rockets
2018,W,Minnesota Timberwolves
2018,W,Oklahoma City Thunder
2018,W,Utah Jazz
2018,W,Portland Trail Blazers
2018,W,New Orleans Pelicans
2018,W,Golden State Warriors
2018,W,San Antonio Spurs
2018,E,Toronto Raptors
2018,E,Washington Wizards
2018,E,Cleveland Cavaliers
2018,E,Indiana Pacers
2018,E,Philadelphia 76ers
2018,E,Miami Heat
2018,E,Boston Celtics
2018,E,Milwaukee Bucks
