Year,Visitor,Visitor_PTS,Home,Home_PTS,Winner
2014,Charlotte Hornets,94,Washington Wizards,88.0,A
2014,San Antonio Spurs,109,Dallas Mavericks,100.0,A
2014,Denver Nuggets,100,Golden State Warriors,99.0,A
2014,Charlotte Hornets,103,Boston Celtics,106.0,H
2014,Atlanta Hawks,93,Brooklyn Nets,88.0,A
2014,Detroit Pistons,98,Chicago Bulls,106.0,H
2014,Golden State Warriors,112,Los Angeles Lakers,95.0,A
2014,Philadelphia 76ers,95,Memphis Grizzlies,117.0,H
2014,Indiana Pacers,86,Miami Heat,98.0,H
2014,Cleveland Cavaliers,116,Milwaukee Bucks,119.0,H
2014,Houston Rockets,110,Minnesota Timberwolves,112.0,H
2014,New Orleans Pelicans,94,Oklahoma City Thunder,116.0,H
2014,Washington Wizards,96,Orlando Magic,86.0,A
2014,Phoenix Suns,104,San Antonio Spurs,112.0,H
2014,New York Knicks,108,Toronto Raptors,100.0,A
2014,Portland Trail Blazers,111,Utah Jazz,99.0,A
2014,Miami Heat,85,Atlanta Hawks,98.0,H
2014,Philadelphia 76ers,105,Charlotte Hornets,111.0,H
2014,Boston Celtics,111,Cleveland Cavaliers,99.0,A
2014,Phoenix Suns,98,Dallas Mavericks,101.0,H
2014,Utah Jazz,94,Denver Nuggets,101.0,H
2014,New Orleans Pelicans,104,Houston Rockets,111.0,H
2014,Sacramento Kings,101,Los Angeles Clippers,117.0,H
2014,Milwaukee Bucks,91,Washington Wizards,104.0,H
2014,Orlando Magic,88,Brooklyn Nets,97.0,H
2014,Toronto Raptors,116,Detroit Pistons,107.0,A
2014,Oklahoma City Thunder,97,Indiana Pacers,102.0,H
2014,Memphis Grizzlies,102,Los Angeles Lakers,90.0,A
2014,Chicago Bulls,89,New York Knicks,100.0,H
2014,Golden State Warriors,117,Portland Trail Blazers,119.0,H
2014,Minnesota Timberwolves,103,Sacramento Kings,106.0,H
2014,Charlotte Hornets,95,Atlanta Hawks,93.0,A
2014,Orlando Magic,95,Chicago Bulls,108.0,H
2014,Minnesota Timberwolves,120,Golden State Warriors,130.0,H
2014,San Antonio Spurs,98,Houston Rockets,104.0,H
2014,Oklahoma City Thunder,89,New Orleans Pelicans,101.0,H
2014,Boston Celtics,108,Philadelphia 76ers,113.0,H
2014,Memphis Grizzlies,97,Phoenix Suns,91.0,A
2014,Milwaukee Bucks,100,Toronto Raptors,110.0,H
2014,Los Angeles Lakers,119,Utah Jazz,104.0,A
2014,Miami Heat,93,Washington Wizards,114.0,H
2014,New York Knicks,109,Brooklyn Nets,98.0,A
2014,Denver Nuggets,105,Los Angeles Clippers,117.0,H
2014,Washington Wizards,118,Boston Celtics,102.0,A
2014,Chicago Bulls,86,Charlotte Hornets,91.0,H
2014,Brooklyn Nets,85,Cleveland Cavaliers,114.0,H
2014,Golden State Warriors,116,Denver Nuggets,112.0,A
2014,Dallas Mavericks,105,Memphis Grizzlies,106.0,H
2014,Philadelphia 76ers,100,Miami Heat,87.0,A
2014,Atlanta Hawks,111,Milwaukee Bucks,103.0,A
2014,Utah Jazz,136,Minnesota Timberwolves,130.0,A
2014,Houston Rockets,100,New Orleans Pelicans,105.0,H
2014,Toronto Raptors,92,New York Knicks,95.0,H
2014,Detroit Pistons,111,Oklahoma City Thunder,112.0,H
2014,Indiana Pacers,101,Orlando Magic,86.0,A
2014,Los Angeles Clippers,104,Portland Trail Blazers,110.0,H
2014,Phoenix Suns,104,Sacramento Kings,99.0,A
2014,Los Angeles Lakers,113,San Antonio Spurs,100.0,A
2014,Atlanta Hawks,101,Indiana Pacers,93.0,A
2014,Golden State Warriors,109,Los Angeles Clippers,105.0,A
2014,Memphis Grizzlies,86,Oklahoma City Thunder,100.0,H
2014,Brooklyn Nets,94,Toronto Raptors,87.0,A
2014,Washington Wizards,102,Chicago Bulls,93.0,A
2014,Portland Trail Blazers,122,Houston Rockets,120.0,A
2014,Charlotte Hornets,88,Miami Heat,99.0,H
2014,Dallas Mavericks,85,San Antonio Spurs,90.0,H
2014,Golden State Warriors,98,Los Angeles Clippers,138.0,H
2014,Memphis Grizzlies,111,Oklahoma City Thunder,105.0,A
2014,Washington Wizards,101,Chicago Bulls,99.0,A
2014,Atlanta Hawks,85,Indiana Pacers,101.0,H
2014,Brooklyn Nets,95,Toronto Raptors,100.0,H
2014,Portland Trail Blazers,112,Houston Rockets,105.0,A
2014,Charlotte Hornets,97,Miami Heat,101.0,H
2014,Dallas Mavericks,113,San Antonio Spurs,92.0,A
2014,Indiana Pacers,85,Atlanta Hawks,98.0,H
2014,Los Angeles Clippers,98,Golden State Warriors,96.0,A
2014,Oklahoma City Thunder,95,Memphis Grizzlies,98.0,H
2014,Toronto Raptors,98,Brooklyn Nets,102.0,H
2014,Houston Rockets,121,Portland Trail Blazers,116.0,A
2014,Chicago Bulls,100,Washington Wizards,97.0,A
2014,Indiana Pacers,91,Atlanta Hawks,88.0,A
2014,Miami Heat,98,Charlotte Hornets,85.0,A
2014,San Antonio Spurs,108,Dallas Mavericks,109.0,H
2014,Oklahoma City Thunder,92,Memphis Grizzlies,89.0,A
2014,Toronto Raptors,87,Brooklyn Nets,79.0,A
2014,Los Angeles Clippers,97,Golden State Warriors,118.0,H
2014,Houston Rockets,120,Portland Trail Blazers,123.0,H
2014,Chicago Bulls,89,Washington Wizards,98.0,H
2014,Miami Heat,109,Charlotte Hornets,98.0,A
2014,San Antonio Spurs,93,Dallas Mavericks,89.0,A
2014,Atlanta Hawks,107,Indiana Pacers,97.0,A
2014,Washington Wizards,75,Chicago Bulls,69.0,A
2014,Golden State Warriors,103,Los Angeles Clippers,113.0,H
2014,Memphis Grizzlies,100,Oklahoma City Thunder,99.0,A
2014,Portland Trail Blazers,98,Houston Rockets,108.0,H
2014,Dallas Mavericks,103,San Antonio Spurs,109.0,H
2014,Brooklyn Nets,113,Toronto Raptors,115.0,H
2014,Indiana Pacers,95,Atlanta Hawks,88.0,A
2014,Los Angeles Clippers,99,Golden State Warriors,100.0,H
2014,Oklahoma City Thunder,104,Memphis Grizzlies,84.0,A
2014,Toronto Raptors,83,Brooklyn Nets,97.0,H
2014,San Antonio Spurs,111,Dallas Mavericks,113.0,H
2014,Houston Rockets,98,Portland Trail Blazers,99.0,H
2014,Atlanta Hawks,80,Indiana Pacers,92.0,H
2014,Golden State Warriors,121,Los Angeles Clippers,126.0,H
2014,Memphis Grizzlies,109,Oklahoma City Thunder,120.0,H
2014,Dallas Mavericks,96,San Antonio Spurs,119.0,H
2014,Brooklyn Nets,104,Toronto Raptors,103.0,A
2014,Washington Wizards,102,Indiana Pacers,96.0,A
2014,Los Angeles Clippers,122,Oklahoma City Thunder,105.0,A
2014,Brooklyn Nets,86,Miami Heat,107.0,H
2014,Portland Trail Blazers,92,San Antonio Spurs,116.0,H
2014,Washington Wizards,82,Indiana Pacers,86.0,H
2014,Los Angeles Clippers,101,Oklahoma City Thunder,112.0,H
2014,Brooklyn Nets,82,Miami Heat,94.0,H
2014,Portland Trail Blazers,97,San Antonio Spurs,114.0,H
2014,Oklahoma City Thunder,118,Los Angeles Clippers,112.0,A
2014,Indiana Pacers,85,Washington Wizards,63.0,A
2014,Miami Heat,90,Brooklyn Nets,104.0,H
2014,San Antonio Spurs,118,Portland Trail Blazers,103.0,A
2014,Oklahoma City Thunder,99,Los Angeles Clippers,101.0,H
2014,Indiana Pacers,95,Washington Wizards,92.0,A
2014,Miami Heat,102,Brooklyn Nets,96.0,A
2014,San Antonio Spurs,92,Portland Trail Blazers,103.0,H
2014,Washington Wizards,102,Indiana Pacers,79.0,A
2014,Los Angeles Clippers,104,Oklahoma City Thunder,105.0,H
2014,Brooklyn Nets,94,Miami Heat,96.0,H
2014,Portland Trail Blazers,82,San Antonio Spurs,104.0,H
2014,Oklahoma City Thunder,104,Los Angeles Clippers,98.0,A
2014,Indiana Pacers,93,Washington Wizards,80.0,A
2014,Miami Heat,96,Indiana Pacers,107.0,H
2014,Oklahoma City Thunder,105,San Antonio Spurs,122.0,H
2014,Miami Heat,87,Indiana Pacers,83.0,A
2014,Oklahoma City Thunder,77,San Antonio Spurs,112.0,H
2014,Indiana Pacers,87,Miami Heat,99.0,H
2014,San Antonio Spurs,97,Oklahoma City Thunder,106.0,H
2014,Indiana Pacers,90,Miami Heat,102.0,H
2014,San Antonio Spurs,92,Oklahoma City Thunder,105.0,H
2014,Miami Heat,90,Indiana Pacers,93.0,H
2014,Oklahoma City Thunder,89,San Antonio Spurs,117.0,H
2014,Indiana Pacers,92,Miami Heat,117.0,H
2014,San Antonio Spurs,112,Oklahoma City Thunder,107.0,A
2014,Miami Heat,95,San Antonio Spurs,110.0,H
2014,Miami Heat,98,San Antonio Spurs,96.0,A
2014,San Antonio Spurs,111,Miami Heat,92.0,A
2014,San Antonio Spurs,107,Miami Heat,86.0,A
2014,Miami Heat,87,San Antonio Spurs,104.0,H
2014,Houston Rockets,108,Los Angeles Lakers,90.0,A
2014,Orlando Magic,84,New Orleans Pelicans,101.0,H
2014,Dallas Mavericks,100,San Antonio Spurs,101.0,H
2014,Brooklyn Nets,105,Boston Celtics,121.0,H
2014,Milwaukee Bucks,106,Charlotte Hornets,108.0,H
2014,Detroit Pistons,79,Denver Nuggets,89.0,H
2014,Philadelphia 76ers,91,Indiana Pacers,103.0,H
2014,Minnesota Timberwolves,101,Memphis Grizzlies,105.0,H
2014,Washington Wizards,95,Miami Heat,107.0,H
2014,Chicago Bulls,104,New York Knicks,80.0,A
2014,Los Angeles Lakers,99,Phoenix Suns,119.0,H
2014,Oklahoma City Thunder,89,Portland Trail Blazers,106.0,H
2014,Golden State Warriors,95,Sacramento Kings,77.0,A
2014,Atlanta Hawks,102,Toronto Raptors,109.0,H
2014,Houston Rockets,104,Utah Jazz,93.0,A
2014,New York Knicks,95,Cleveland Cavaliers,90.0,A
2014,Utah Jazz,102,Dallas Mavericks,120.0,H
2014,Oklahoma City Thunder,90,Los Angeles Clippers,93.0,H
2014,Detroit Pistons,91,Minnesota Timberwolves,97.0,H
2014,Washington Wizards,105,Orlando Magic,98.0,A
2014,Cleveland Cavaliers,114,Chicago Bulls,108.0,A
2014,Memphis Grizzlies,97,Indiana Pacers,89.0,A
2014,Los Angeles Clippers,118,Los Angeles Lakers,111.0,A
2014,Philadelphia 76ers,81,Milwaukee Bucks,93.0,H
2014,San Antonio Spurs,89,Phoenix Suns,94.0,H
2014,Portland Trail Blazers,94,Sacramento Kings,103.0,H
2014,Indiana Pacers,92,Atlanta Hawks,102.0,H
2014,Memphis Grizzlies,71,Charlotte Hornets,69.0,A
2014,Brooklyn Nets,102,Detroit Pistons,90.0,A
2014,Los Angeles Lakers,104,Golden State Warriors,127.0,H
2014,Boston Celtics,90,Houston Rockets,104.0,H
2014,Chicago Bulls,106,Minnesota Timberwolves,105.0,A
2014,Dallas Mavericks,109,New Orleans Pelicans,104.0,A
2014,Denver Nuggets,91,Oklahoma City Thunder,102.0,H
2014,Toronto Raptors,108,Orlando Magic,95.0,A
2014,Miami Heat,114,Philadelphia 76ers,96.0,A
2014,Phoenix Suns,91,Utah Jazz,118.0,H
2014,Milwaukee Bucks,97,Washington Wizards,108.0,H
2014,Sacramento Kings,98,Los Angeles Clippers,92.0,A
2014,Toronto Raptors,102,Miami Heat,107.0,H
2014,Charlotte Hornets,93,New York Knicks,96.0,H
2014,Golden State Warriors,95,Portland Trail Blazers,90.0,A
2014,Oklahoma City Thunder,85,Brooklyn Nets,116.0,H
2014,Boston Celtics,113,Dallas Mavericks,118.0,H
2014,Sacramento Kings,110,Denver Nuggets,105.0,A
2014,Utah Jazz,101,Los Angeles Clippers,107.0,H
2014,New Orleans Pelicans,81,Memphis Grizzlies,93.0,H
2014,Houston Rockets,104,Philadelphia 76ers,93.0,A
2014,Orlando Magic,90,Chicago Bulls,98.0,H
2014,Milwaukee Bucks,87,Indiana Pacers,81.0,A
2014,Phoenix Suns,112,Los Angeles Lakers,106.0,A
2014,Houston Rockets,108,Miami Heat,91.0,A
2014,Charlotte Hornets,91,New Orleans Pelicans,100.0,H
2014,Washington Wizards,98,New York Knicks,83.0,A
2014,Cleveland Cavaliers,82,Portland Trail Blazers,101.0,H
2014,Oklahoma City Thunder,88,Toronto Raptors,100.0,H
2014,Toronto Raptors,110,Boston Celtics,107.0,A
2014,Minnesota Timberwolves,98,Brooklyn Nets,91.0,A
2014,Miami Heat,89,Charlotte Hornets,96.0,H
2014,New York Knicks,95,Detroit Pistons,98.0,H
2014,Los Angeles Clippers,104,Golden State Warriors,121.0,H
2014,Chicago Bulls,95,Milwaukee Bucks,86.0,A
2014,Orlando Magic,91,Philadelphia 76ers,89.0,A
2014,Memphis Grizzlies,102,Phoenix Suns,91.0,A
2014,Denver Nuggets,109,Sacramento Kings,131.0,H
2014,Atlanta Hawks,92,San Antonio Spurs,94.0,H
2014,Cleveland Cavaliers,100,Utah Jazz,102.0,H
2014,Indiana Pacers,94,Washington Wizards,96.0,H
2014,San Antonio Spurs,81,Houston Rockets,98.0,H
2014,Dallas Mavericks,87,Portland Trail Blazers,108.0,H
2014,Indiana Pacers,98,Boston Celtics,101.0,H
2014,New York Knicks,99,Brooklyn Nets,110.0,H
2014,Atlanta Hawks,119,Charlotte Hornets,122.0,H
2014,Cleveland Cavaliers,110,Denver Nuggets,101.0,A
2014,Milwaukee Bucks,95,Detroit Pistons,98.0,H
2014,Memphis Grizzlies,91,Oklahoma City Thunder,89.0,A
2014,Minnesota Timberwolves,103,Orlando Magic,112.0,H
2014,Chicago Bulls,118,Philadelphia 76ers,115.0,A
2014,Sacramento Kings,114,Phoenix Suns,112.0,A
2014,Washington Wizards,84,Toronto Raptors,103.0,H
2014,Dallas Mavericks,105,Utah Jazz,82.0,A
2014,New York Knicks,96,Atlanta Hawks,103.0,H
2014,Boston Celtics,106,Chicago Bulls,101.0,A
2014,Golden State Warriors,98,Houston Rockets,87.0,A
2014,Washington Wizards,97,Indiana Pacers,90.0,A
2014,Portland Trail Blazers,102,Los Angeles Clippers,106.0,H
2014,Minnesota Timberwolves,92,Miami Heat,102.0,H
2014,Memphis Grizzlies,92,Milwaukee Bucks,93.0,H
2014,New Orleans Pelicans,100,San Antonio Spurs,99.0,A
2014,Orlando Magic,96,Brooklyn Nets,104.0,H
2014,Miami Heat,105,Dallas Mavericks,96.0,A
2014,Utah Jazz,97,Detroit Pistons,96.0,A
2014,Charlotte Hornets,92,Los Angeles Lakers,107.0,H
2014,Sacramento Kings,93,Oklahoma City Thunder,101.0,H
2014,Golden State Warriors,95,Phoenix Suns,107.0,H
2014,Denver Nuggets,100,Portland Trail Blazers,116.0,H
2014,Philadelphia 76ers,88,Toronto Raptors,120.0,H
2014,Detroit Pistons,91,Chicago Bulls,102.0,H
2014,New Orleans Pelicans,111,Cleveland Cavaliers,118.0,H
2014,Utah Jazz,86,Indiana Pacers,97.0,H
2014,San Antonio Spurs,89,Los Angeles Clippers,85.0,A
2014,Atlanta Hawks,91,New York Knicks,85.0,A
2014,Sacramento Kings,98,Dallas Mavericks,106.0,H
2014,San Antonio Spurs,113,Golden State Warriors,100.0,A
2014,Los Angeles Lakers,102,Memphis Grizzlies,107.0,H
2014,Oklahoma City Thunder,78,Milwaukee Bucks,85.0,H
2014,Charlotte Hornets,100,Portland Trail Blazers,102.0,H
2014,Orlando Magic,100,Toronto Raptors,104.0,H
2014,Utah Jazz,97,Atlanta Hawks,100.0,H
2014,Oklahoma City Thunder,109,Boston Celtics,94.0,A
2014,Portland Trail Blazers,130,Denver Nuggets,113.0,A
2014,Indiana Pacers,81,Miami Heat,75.0,A
2014,Houston Rockets,113,Minnesota Timberwolves,101.0,A
2014,Los Angeles Lakers,102,New Orleans Pelicans,109.0,H
2014,Orlando Magic,97,New York Knicks,95.0,A
2014,Brooklyn Nets,104,Phoenix Suns,112.0,H
2014,Detroit Pistons,103,Washington Wizards,107.0,H
2014,Philadelphia 76ers,70,Dallas Mavericks,123.0,H
2014,Brooklyn Nets,99,Golden State Warriors,107.0,H
2014,Sacramento Kings,110,Memphis Grizzlies,111.0,H
2014,Chicago Bulls,100,Toronto Raptors,93.0,A
2014,Miami Heat,103,Atlanta Hawks,114.0,H
2014,Cleveland Cavaliers,122,Boston Celtics,121.0,A
2014,Philadelphia 76ers,87,Houston Rockets,88.0,H
2014,Denver Nuggets,108,Indiana Pacers,87.0,A
2014,San Antonio Spurs,93,Los Angeles Lakers,80.0,A
2014,Minnesota Timberwolves,91,New Orleans Pelicans,139.0,H
2014,Utah Jazz,102,New York Knicks,100.0,A
2014,Detroit Pistons,96,Oklahoma City Thunder,89.0,A
2014,Milwaukee Bucks,85,Orlando Magic,101.0,H
2014,Charlotte Hornets,103,Phoenix Suns,95.0,A
2014,Indiana Pacers,99,Chicago Bulls,90.0,A
2014,Atlanta Hawks,94,Cleveland Cavaliers,127.0,H
2014,Minnesota Timberwolves,117,Dallas Mavericks,131.0,H
2014,Charlotte Hornets,87,Golden State Warriors,112.0,H
2014,Phoenix Suns,107,Los Angeles Clippers,120.0,H
2014,Detroit Pistons,88,Memphis Grizzlies,95.0,H
2014,Brooklyn Nets,87,Portland Trail Blazers,97.0,H
2014,San Antonio Spurs,91,Sacramento Kings,94.0,H
2014,Utah Jazz,93,Toronto Raptors,111.0,H
2014,Orlando Magic,93,Washington Wizards,98.0,H
2014,Golden State Warriors,136,Los Angeles Lakers,115.0,A
2014,Milwaukee Bucks,91,Miami Heat,84.0,A
2014,Denver Nuggets,93,New York Knicks,109.0,H
2014,Houston Rockets,69,Oklahoma City Thunder,65.0,A
2014,Phoenix Suns,118,Boston Celtics,114.0,A
2014,Miami Heat,95,Brooklyn Nets,83.0,A
2014,Dallas Mavericks,107,Charlotte Hornets,80.0,A
2014,Denver Nuggets,106,Cleveland Cavaliers,97.0,A
2014,Orlando Magic,107,Detroit Pistons,93.0,A
2014,Chicago Bulls,105,Los Angeles Clippers,89.0,A
2014,Houston Rockets,93,Memphis Grizzlies,119.0,H
2014,New Orleans Pelicans,93,Portland Trail Blazers,102.0,H
2014,Philadelphia 76ers,75,San Antonio Spurs,100.0,H
2014,Los Angeles Lakers,114,Atlanta Hawks,109.0,A
2014,New York Knicks,113,Milwaukee Bucks,117.0,H
2014,New Orleans Pelicans,106,Sacramento Kings,100.0,A
2014,Oklahoma City Thunder,81,Utah Jazz,98.0,H
2014,Milwaukee Bucks,122,Brooklyn Nets,118.0,A
2014,San Antonio Spurs,92,Cleveland Cavaliers,90.0,A
2014,Oklahoma City Thunder,100,Denver Nuggets,107.0,H
2014,Phoenix Suns,88,Detroit Pistons,86.0,A
2014,Los Angeles Lakers,98,Houston Rockets,92.0,A
2014,Charlotte Hornets,86,Indiana Pacers,88.0,H
2014,New York Knicks,99,Minnesota Timberwolves,115.0,H
2014,Los Angeles Clippers,114,Orlando Magic,90.0,A
2014,Boston Celtics,101,Philadelphia 76ers,90.0,A
2014,Memphis Grizzlies,92,Toronto Raptors,96.0,H
2014,Dallas Mavericks,105,Washington Wizards,102.0,A
2014,Los Angeles Clippers,110,Miami Heat,93.0,A
2014,Chicago Bulls,88,Sacramento Kings,103.0,H
2014,Detroit Pistons,89,Atlanta Hawks,99.0,H
2014,Orlando Magic,105,Charlotte Hornets,100.0,A
2014,Los Angeles Lakers,106,Dallas Mavericks,140.0,H
2014,New Orleans Pelicans,97,Denver Nuggets,117.0,H
2014,Utah Jazz,88,Golden State Warriors,101.0,H
2014,Boston Celtics,100,Memphis Grizzlies,117.0,H
2014,San Antonio Spurs,121,Minnesota Timberwolves,92.0,A
2014,Brooklyn Nets,94,Oklahoma City Thunder,92.0,A
2014,Phoenix Suns,122,Philadelphia 76ers,96.0,A
2014,Chicago Bulls,87,Portland Trail Blazers,105.0,H
2014,Milwaukee Bucks,82,Toronto Raptors,124.0,H
2014,Cleveland Cavaliers,78,Washington Wizards,91.0,H
2014,Toronto Raptors,110,Cleveland Cavaliers,93.0,A
2014,Dallas Mavericks,92,Houston Rockets,95.0,H
2014,Phoenix Suns,106,Indiana Pacers,83.0,A
2014,Washington Wizards,111,Milwaukee Bucks,100.0,A
2014,Sacramento Kings,113,Minnesota Timberwolves,101.0,A
2014,Philadelphia 76ers,83,New York Knicks,91.0,H
2014,Miami Heat,99,Orlando Magic,92.0,A
2014,Brooklyn Nets,87,San Antonio Spurs,99.0,H
2014,New Orleans Pelicans,106,Utah Jazz,94.0,A
2014,Portland Trail Blazers,94,Boston Celtics,88.0,A
2014,Denver Nuggets,101,Los Angeles Lakers,94.0,A
2014,Los Angeles Clippers,91,Memphis Grizzlies,107.0,H
2014,Charlotte Hornets,93,Miami Heat,94.0,H
2014,Golden State Warriors,91,Oklahoma City Thunder,86.0,A
2014,Los Angeles Clippers,113,Charlotte Hornets,92.0,A
2014,Orlando Magic,74,Cleveland Cavaliers,106.0,H
2014,Indiana Pacers,111,Dallas Mavericks,100.0,A
2014,New York Knicks,86,Houston Rockets,91.0,H
2014,Portland Trail Blazers,114,Philadelphia 76ers,104.0,A
2014,Phoenix Suns,100,Toronto Raptors,104.0,H
2014,Chicago Bulls,97,Utah Jazz,95.0,A
2014,Chicago Bulls,109,Denver Nuggets,114.0,H
2014,Golden State Warriors,114,Miami Heat,97.0,A
2014,Detroit Pistons,86,Milwaukee Bucks,98.0,H
2014,Sacramento Kings,99,New Orleans Pelicans,89.0,A
2014,Atlanta Hawks,106,Washington Wizards,102.0,A
2014,Toronto Raptors,126,Atlanta Hawks,115.0,A
2014,Portland Trail Blazers,105,Charlotte Hornets,97.0,A
2014,Washington Wizards,87,Cleveland Cavaliers,113.0,H
2014,New York Knicks,102,Dallas Mavericks,109.0,H
2014,Los Angeles Clippers,104,Detroit Pistons,98.0,A
2014,Sacramento Kings,89,Houston Rockets,102.0,H
2014,Memphis Grizzlies,99,Los Angeles Lakers,93.0,A
2014,Milwaukee Bucks,103,Minnesota Timberwolves,86.0,A
2014,Utah Jazz,82,Oklahoma City Thunder,97.0,H
2014,Golden State Warriors,111,Orlando Magic,96.0,A
2014,Brooklyn Nets,99,Philadelphia 76ers,91.0,A
2014,Denver Nuggets,112,Phoenix Suns,120.0,H
2014,Indiana Pacers,100,San Antonio Spurs,106.0,H
2014,New Orleans Pelicans,91,Atlanta Hawks,100.0,H
2014,Chicago Bulls,109,Boston Celtics,102.0,A
2014,Golden State Warriors,106,Charlotte Hornets,101.0,A
2014,Phoenix Suns,97,Denver Nuggets,122.0,H
2014,Milwaukee Bucks,104,Detroit Pistons,88.0,A
2014,Los Angeles Clippers,102,Houston Rockets,85.0,A
2014,Orlando Magic,83,Indiana Pacers,98.0,H
2014,Minnesota Timberwolves,120,Los Angeles Lakers,119.0,A
2014,New York Knicks,78,Oklahoma City Thunder,105.0,H
2014,Memphis Grizzlies,112,Portland Trail Blazers,99.0,A
2014,Sacramento Kings,104,San Antonio Spurs,112.0,H
2014,Dallas Mavericks,106,Toronto Raptors,102.0,A
2014,Charlotte Hornets,75,Atlanta Hawks,105.0,H
2014,Indiana Pacers,97,Cleveland Cavaliers,109.0,H
2014,Houston Rockets,117,Milwaukee Bucks,103.0,A
2014,Dallas Mavericks,110,Philadelphia 76ers,103.0,A
2014,Los Angeles Clippers,112,Utah Jazz,96.0,A
2014,New Orleans Pelicans,80,Washington Wizards,83.0,H
2014,San Antonio Spurs,111,Boston Celtics,89.0,A
2014,Chicago Bulls,102,Brooklyn Nets,84.0,A
2014,Golden State Warriors,104,Detroit Pistons,93.0,A
2014,Toronto Raptors,122,Los Angeles Lakers,129.0,H
2014,Miami Heat,86,New York Knicks,79.0,A
2014,Orlando Magic,93,Phoenix Suns,90.0,A
2014,Minnesota Timberwolves,93,Portland Trail Blazers,107.0,H
2014,Memphis Grizzlies,97,Sacramento Kings,85.0,A
2014,Minnesota Timberwolves,101,Los Angeles Clippers,127.0,H
2014,San Antonio Spurs,109,Philadelphia 76ers,103.0,A
2014,Denver Nuggets,103,Utah Jazz,101.0,A
2014,Miami Heat,86,Washington Wizards,107.0,H
2014,Boston Celtics,105,Atlanta Hawks,109.0,H
2014,Dallas Mavericks,132,Chicago Bulls,129.0,A
2014,Milwaukee Bucks,108,Cleveland Cavaliers,111.0,H
2014,Portland Trail Blazers,105,Denver Nuggets,103.0,A
2014,Los Angeles Lakers,106,Detroit Pistons,96.0,A
2014,Orlando Magic,97,Golden State Warriors,98.0,H
2014,Oklahoma City Thunder,104,New Orleans Pelicans,112.0,H
2014,Brooklyn Nets,98,New York Knicks,93.0,A
2014,Indiana Pacers,99,Phoenix Suns,116.0,H
2014,Toronto Raptors,117,Sacramento Kings,109.0,A
2014,Detroit Pistons,102,Boston Celtics,109.0,H
2014,San Antonio Spurs,93,Brooklyn Nets,95.0,H
2014,Chicago Bulls,102,Charlotte Hornets,95.0,A
2014,Memphis Grizzlies,96,Houston Rockets,105.0,H
2014,Orlando Magic,86,Los Angeles Clippers,114.0,H
2014,Atlanta Hawks,112,Miami Heat,102.0,A
2014,Dallas Mavericks,107,Milwaukee Bucks,105.0,A
2014,Philadelphia 76ers,85,Minnesota Timberwolves,77.0,A
2014,Toronto Raptors,123,Utah Jazz,104.0,A
2014,Los Angeles Lakers,95,Washington Wizards,111.0,H
2014,New Orleans Pelicans,85,Golden State Warriors,112.0,H
2014,Cleveland Cavaliers,90,New York Knicks,87.0,A
2014,Indiana Pacers,82,Portland Trail Blazers,88.0,H
2014,Los Angeles Lakers,96,Boston Celtics,113.0,H
2014,Atlanta Hawks,98,Brooklyn Nets,75.0,A
2014,New York Knicks,102,Charlotte Hornets,103.0,H
2014,Phoenix Suns,118,Dallas Mavericks,106.0,A
2014,San Antonio Spurs,107,Memphis Grizzlies,101.0,A
2014,Miami Heat,85,Milwaukee Bucks,109.0,H
2014,Houston Rockets,114,Minnesota Timberwolves,112.0,A
2014,Oklahoma City Thunder,103,Philadelphia 76ers,91.0,A
2014,Indiana Pacers,101,Sacramento Kings,102.0,H
2014,Cleveland Cavaliers,105,Toronto Raptors,91.0,A
2014,Orlando Magic,98,Utah Jazz,93.0,A
2014,Denver Nuggets,89,Washington Wizards,119.0,H
2014,Golden State Warriors,112,Chicago Bulls,102.0,A
2014,Philadelphia 76ers,108,Detroit Pistons,101.0,A
2014,Phoenix Suns,95,Houston Rockets,100.0,H
2014,New Orleans Pelicans,100,Los Angeles Clippers,120.0,H
2014,Orlando Magic,105,Sacramento Kings,96.0,A
2014,Minnesota Timberwolves,101,San Antonio Spurs,123.0,H
2014,Denver Nuggets,84,Atlanta Hawks,96.0,H
2014,Washington Wizards,93,Boston Celtics,101.0,H
2014,Milwaukee Bucks,102,Dallas Mavericks,125.0,H
2014,Oklahoma City Thunder,96,Detroit Pistons,94.0,A
2014,New Orleans Pelicans,104,Los Angeles Lakers,87.0,A
2014,Miami Heat,87,Memphis Grizzlies,103.0,H
2014,Portland Trail Blazers,103,New York Knicks,99.0,A
2014,Cleveland Cavaliers,110,Brooklyn Nets,88.0,A
2014,Atlanta Hawks,108,Indiana Pacers,92.0,A
2014,Phoenix Suns,120,Los Angeles Clippers,121.0,H
2014,Golden State Warriors,102,Minnesota Timberwolves,86.0,A
2014,Utah Jazz,92,Sacramento Kings,101.0,H
2014,Denver Nuggets,107,Toronto Raptors,112.0,H
2014,Boston Celtics,132,Washington Wizards,133.0,H
2014,Toronto Raptors,101,Cleveland Cavaliers,105.0,H
2014,Portland Trail Blazers,98,Detroit Pistons,86.0,A
2014,Sacramento Kings,95,Los Angeles Lakers,98.0,H
2014,Dallas Mavericks,105,Memphis Grizzlies,114.0,H
2014,New York Knicks,93,New Orleans Pelicans,104.0,H
2014,Milwaukee Bucks,101,Oklahoma City Thunder,114.0,H
2014,Miami Heat,103,Phoenix Suns,97.0,A
2014,San Antonio Spurs,96,Utah Jazz,100.0,H
