Year,Visitor,Visitor_PTS,Home,Home_PTS,Winner
2013,Orlando Magic,94,Atlanta Hawks,104.0,H
2013,Indiana Pacers,96,Brooklyn Nets,91.0,A
2013,Philadelphia 76ers,125,Cleveland Cavaliers,127.0,H
2013,Los Angeles Clippers,107,Houston Rockets,94.0,A
2013,Golden State Warriors,90,Memphis Grizzlies,108.0,H
2013,Boston Celtics,111,Miami Heat,110.0,A
2013,Dallas Mavericks,91,Milwaukee Bucks,83.0,A
2013,Portland Trail Blazers,96,Sacramento Kings,85.0,A
2013,Utah Jazz,91,Toronto Raptors,115.0,H
2013,Minnesota Timberwolves,113,Los Angeles Lakers,90.0,A
2013,San Antonio Spurs,120,New York Knicks,89.0,A
2013,Washington Wizards,105,Oklahoma City Thunder,106.0,H
2013,New Orleans Pelicans,94,Phoenix Suns,101.0,H
2013,Orlando Magic,105,Boston Celtics,120.0,H
2013,Atlanta Hawks,103,Charlotte Hornets,94.0,A
2013,Cleveland Cavaliers,81,Chicago Bulls,96.0,H
2013,Toronto Raptors,104,Houston Rockets,110.0,H
2013,Memphis Grizzlies,79,Indiana Pacers,95.0,H
2013,Minnesota Timberwolves,107,Los Angeles Clippers,109.0,H
2013,San Antonio Spurs,109,Philadelphia 76ers,85.0,A
2013,Detroit Pistons,103,Portland Trail Blazers,109.0,H
2013,Denver Nuggets,100,Utah Jazz,81.0,A
2013,Washington Wizards,95,Dallas Mavericks,105.0,H
2013,Detroit Pistons,95,Golden State Warriors,113.0,H
2013,New Orleans Pelicans,95,Los Angeles Lakers,116.0,H
2013,Milwaukee Bucks,95,Miami Heat,118.0,H
2013,New York Knicks,95,Atlanta Hawks,91.0,A
2013,Charlotte Hornets,89,Boston Celtics,83.0,A
2013,Los Angeles Lakers,99,Denver Nuggets,111.0,H
2013,Oklahoma City Thunder,103,Los Angeles Clippers,111.0,H
2013,Toronto Raptors,103,Memphis Grizzlies,87.0,A
2013,Cleveland Cavaliers,95,Minnesota Timberwolves,124.0,H
2013,Milwaukee Bucks,91,Orlando Magic,94.0,H
2013,Houston Rockets,117,Philadelphia 76ers,123.0,H
2013,Phoenix Suns,89,Portland Trail Blazers,90.0,H
2013,Brooklyn Nets,86,Sacramento Kings,107.0,H
2013,Washington Wizards,79,San Antonio Spurs,92.0,H
2013,New Orleans Pelicans,105,Utah Jazz,111.0,H
2013,Oklahoma City Thunder,115,Golden State Warriors,116.0,H
2013,Houston Rockets,109,New York Knicks,106.0,A
2013,Philadelphia 76ers,103,Atlanta Hawks,113.0,H
2013,Portland Trail Blazers,109,Boston Celtics,96.0,A
2013,Charlotte Hornets,86,Cleveland Cavaliers,80.0,A
2013,Minnesota Timberwolves,113,Denver Nuggets,117.0,H
2013,Milwaukee Bucks,77,Indiana Pacers,104.0,H
2013,Memphis Grizzlies,89,Los Angeles Lakers,86.0,A
2013,Dallas Mavericks,104,Miami Heat,110.0,H
2013,Brooklyn Nets,100,Phoenix Suns,98.0,A
2013,Detroit Pistons,97,Sacramento Kings,90.0,A
2013,Chicago Bulls,96,Toronto Raptors,80.0,A
2013,San Antonio Spurs,91,Utah Jazz,82.0,A
2013,Miami Heat,97,Charlotte Hornets,81.0,A
2013,Indiana Pacers,94,Chicago Bulls,110.0,H
2013,Utah Jazz,88,Golden State Warriors,102.0,H
2013,Denver Nuggets,111,Houston Rockets,122.0,H
2013,Brooklyn Nets,103,Los Angeles Clippers,110.0,H
2013,Oklahoma City Thunder,92,Milwaukee Bucks,79.0,A
2013,Boston Celtics,88,Minnesota Timberwolves,106.0,H
2013,Philadelphia 76ers,98,New Orleans Pelicans,135.0,H
2013,Atlanta Hawks,110,New York Knicks,90.0,A
2013,Dallas Mavericks,108,Orlando Magic,100.0,A
2013,Cleveland Cavaliers,103,Washington Wizards,96.0,A
2013,Detroit Pistons,99,Los Angeles Lakers,114.0,H
2013,Memphis Grizzlies,97,Sacramento Kings,86.0,A
2013,Portland Trail Blazers,118,Toronto Raptors,110.0,A
2013,Portland Trail Blazers,108,Brooklyn Nets,98.0,A
2013,Charlotte Hornets,81,Chicago Bulls,86.0,H
2013,Philadelphia 76ers,94,Dallas Mavericks,97.0,H
2013,Memphis Grizzlies,106,Los Angeles Clippers,102.0,A
2013,Denver Nuggets,113,Oklahoma City Thunder,115.0,H
2013,Golden State Warriors,98,Utah Jazz,87.0,A
2013,New York Knicks,86,Detroit Pistons,92.0,H
2013,Boston Celtics,85,Houston Rockets,109.0,H
2013,Atlanta Hawks,88,Miami Heat,104.0,H
2013,Phoenix Suns,104,Sacramento Kings,107.0,H
2013,Minnesota Timberwolves,100,Washington Wizards,104.0,H
2013,Detroit Pistons,85,Atlanta Hawks,93.0,H
2013,Brooklyn Nets,91,Charlotte Hornets,95.0,H
2013,Washington Wizards,98,Cleveland Cavaliers,91.0,A
2013,Houston Rockets,120,Dallas Mavericks,123.0,H
2013,Memphis Grizzlies,88,Golden State Warriors,81.0,A
2013,Portland Trail Blazers,91,Milwaukee Bucks,82.0,A
2013,Los Angeles Clippers,102,Minnesota Timberwolves,98.0,A
2013,Utah Jazz,98,New Orleans Pelicans,105.0,H
2013,Indiana Pacers,103,New York Knicks,96.0,A
2013,Miami Heat,120,Orlando Magic,92.0,A
2013,Toronto Raptors,108,Philadelphia 76ers,98.0,A
2013,Sacramento Kings,113,Phoenix Suns,106.0,A
2013,Boston Celtics,93,San Antonio Spurs,104.0,H
2013,Chicago Bulls,87,Denver Nuggets,97.0,H
2013,Los Angeles Clippers,91,Oklahoma City Thunder,105.0,H
2013,Indiana Pacers,97,Boston Celtics,82.0,A
2013,Phoenix Suns,98,Charlotte Hornets,91.0,A
2013,Utah Jazz,93,Dallas Mavericks,103.0,H
2013,Atlanta Hawks,96,Detroit Pistons,89.0,A
2013,Golden State Warriors,95,Los Angeles Lakers,102.0,H
2013,San Antonio Spurs,102,Memphis Grizzlies,86.0,A
2013,Brooklyn Nets,81,Minnesota Timberwolves,111.0,H
2013,Cleveland Cavaliers,100,New Orleans Pelicans,104.0,H
2013,Milwaukee Bucks,107,Philadelphia 76ers,115.0,H
2013,Chicago Bulls,95,Portland Trail Blazers,98.0,H
2013,Washington Wizards,88,Toronto Raptors,96.0,H
2013,Boston Celtics,94,Atlanta Hawks,87.0,A
2013,Dallas Mavericks,100,Denver Nuggets,102.0,H
2013,Portland Trail Blazers,113,Golden State Warriors,101.0,A
2013,Minnesota Timberwolves,101,Houston Rockets,112.0,H
2013,Philadelphia 76ers,98,Indiana Pacers,106.0,H
2013,Sacramento Kings,102,Los Angeles Clippers,103.0,H
2013,Orlando Magic,99,Miami Heat,101.0,H
2013,Charlotte Hornets,96,Milwaukee Bucks,72.0,A
2013,Cleveland Cavaliers,96,San Antonio Spurs,126.0,H
2013,New York Knicks,89,Washington Wizards,98.0,H
2013,Detroit Pistons,109,Brooklyn Nets,97.0,A
2013,Chicago Bulls,82,Los Angeles Clippers,121.0,H
2013,Sacramento Kings,86,Los Angeles Lakers,100.0,H
2013,Utah Jazz,73,Oklahoma City Thunder,95.0,H
2013,Phoenix Suns,104,Orlando Magic,96.0,A
2013,Boston Celtics,96,Charlotte Hornets,86.0,A
